student_id,counsellor_note
STU01808,Needs to improve focus in class. Action plan discussed.
STU01809,Good academic-social balance. Action plan discussed.
STU01810,Needs to improve focus in class. Situation monitored.
STU01811,Student is performing well. Situation monitored.
STU01812,Family concerns mentioned briefly. Follow-up required.
STU01813,Student is performing well. Action plan discussed.
STU01814,Good academic-social balance. Follow-up required.
STU01815,Student is performing well. Action plan discussed.
STU01816,Good academic-social balance. Follow-up required.
STU01817,Occasional absence noted. Situation monitored.
STU01818,Good academic-social balance. Action plan discussed.
STU01819,Good academic-social balance. Follow-up required.
STU01820,Student is performing well. Situation monitored.
STU01821,"Discussed minor career goals, doing fine. Follow-up required."
STU01822,No further action needed. Follow-up required.
STU01823,Student is performing well. Action plan discussed.
STU01824,Needs to improve focus in class. Action plan discussed.
STU01825,Participates actively in class. Follow-up required.
STU01826,No further action needed. Follow-up required.
STU01827,Participates actively in class. Action plan discussed.
STU01828,Student is performing well. Action plan discussed.
STU01829,Good academic-social balance. Follow-up required.
STU01830,Monitor attendance next month. Action plan discussed.
STU01831,Participates actively in class. Situation monitored.
STU01832,Participates actively in class. Situation monitored.
STU01833,Emergency contact notified. Follow-up required.
STU01834,Participates actively in class. Situation monitored.
STU01835,Participates actively in class. Situation monitored.
STU01836,"Discussed minor career goals, doing fine. Situation monitored."
STU01837,Occasional absence noted. Follow-up required.
STU01838,Occasional absence noted. Action plan discussed.
STU01839,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU01840,No further action needed. Action plan discussed.
STU01841,Emergency contact notified. Situation monitored.
STU01842,Needs to improve focus in class. Follow-up required.
STU01843,"Struggling slightly with core subjects, advised tutoring. Action plan discussed."
STU01844,Mental health challenges affecting academics. Action plan discussed.
STU01845,Participates actively in class. Action plan discussed.
STU01846,Mental health challenges affecting academics. Follow-up required.
STU01847,No further action needed. Action plan discussed.
STU01848,Student is performing well. Action plan discussed.
STU01849,Participates actively in class. Follow-up required.
STU01850,"Working too many part-time hours, neglecting studies. Follow-up required."
STU01851,Student expressed some stress regarding coursework. Action plan discussed.
STU01852,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU01853,Good academic-social balance. Action plan discussed.
STU01854,Student expressed some stress regarding coursework. Action plan discussed.
STU01855,Student expressed some stress regarding coursework. Follow-up required.
STU01856,Student is performing well. Action plan discussed.
STU01857,Student is performing well. Situation monitored.
STU01858,No major issues reported. Follow-up required.
STU01859,No major issues reported. Follow-up required.
STU01860,Student expressed some stress regarding coursework. Follow-up required.
STU01861,No major issues reported. Situation monitored.
STU01862,Student is performing well. Action plan discussed.
STU01863,"Discussed minor career goals, doing fine. Situation monitored."
STU01864,No major issues reported. Situation monitored.
STU01865,No major issues reported. Action plan discussed.
STU01866,"Struggling slightly with core subjects, advised tutoring. Action plan discussed."
STU01867,Good academic-social balance. Action plan discussed.
STU01868,Student expressed some stress regarding coursework. Follow-up required.
STU01869,Student is performing well. Situation monitored.
STU01870,No major issues reported. Situation monitored.
STU01871,"Working too many part-time hours, neglecting studies. Situation monitored."
STU01872,Participates actively in class. Follow-up required.
STU01873,Emergency contact notified. Follow-up required.
STU01874,Multiple backlogs. Demotivated. Action plan discussed.
STU01875,No major issues reported. Action plan discussed.
STU01876,Family concerns mentioned briefly. Follow-up required.
STU01877,"Working too many part-time hours, neglecting studies. Action plan discussed."
STU01878,Discussed dropping out due to financial stress. Situation monitored.
STU01879,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU01880,"Discussed minor career goals, doing fine. Action plan discussed."
STU01881,Needs to improve focus in class. Follow-up required.
STU01882,Participates actively in class. Follow-up required.
STU01883,"Working too many part-time hours, neglecting studies. Follow-up required."
STU01884,Family concerns mentioned briefly. Follow-up required.
STU01885,Good academic-social balance. Follow-up required.
STU01886,No major issues reported. Action plan discussed.
STU01887,Monitor attendance next month. Action plan discussed.
STU01888,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU01889,"Discussed minor career goals, doing fine. Action plan discussed."
STU01890,Participates actively in class. Follow-up required.
STU01891,Participates actively in class. Follow-up required.
STU01892,"Discussed minor career goals, doing fine. Follow-up required."
STU01893,Emergency contact notified. Action plan discussed.
STU01894,Student is performing well. Action plan discussed.
STU01895,Participates actively in class. Action plan discussed.
STU01896,Student is performing well. Action plan discussed.
STU01897,Student is performing well. Follow-up required.
STU01898,Good academic-social balance. Action plan discussed.
STU01899,"Struggling slightly with core subjects, advised tutoring. Action plan discussed."
STU01900,"Discussed minor career goals, doing fine. Follow-up required."
STU01901,Participates actively in class. Situation monitored.
STU01902,Emergency contact notified. Follow-up required.
STU01903,Student expressed some stress regarding coursework. Action plan discussed.
STU01904,No further action needed. Follow-up required.
STU01905,Good academic-social balance. Situation monitored.
STU01906,Participates actively in class. Action plan discussed.
STU01907,No further action needed. Follow-up required.
STU01908,Severe lack of attendance. Unresponsive to emails. Action plan discussed.
STU01909,Participates actively in class. Situation monitored.
STU01910,Student expressed some stress regarding coursework. Follow-up required.
STU01911,"Discussed minor career goals, doing fine. Follow-up required."
STU01912,Family concerns mentioned briefly. Action plan discussed.
STU01913,Family concerns mentioned briefly. Situation monitored.
STU01914,Student is performing well. Situation monitored.
STU01915,Mental health challenges affecting academics. Follow-up required.
STU01916,Good academic-social balance. Action plan discussed.
STU01917,Emergency contact notified. Action plan discussed.
STU01918,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU01919,No major issues reported. Situation monitored.
STU01920,Emergency contact notified. Follow-up required.
STU01921,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU01922,Family concerns mentioned briefly. Action plan discussed.
STU01923,Monitor attendance next month. Situation monitored.
STU01924,Family concerns mentioned briefly. Situation monitored.
STU01925,Emergency contact notified. Follow-up required.
STU01926,Student is performing well. Follow-up required.
STU01927,Family concerns mentioned briefly. Follow-up required.
STU01928,Participates actively in class. Action plan discussed.
STU01929,"Discussed minor career goals, doing fine. Follow-up required."
STU01930,No further action needed. Action plan discussed.
STU01931,Good academic-social balance. Situation monitored.
STU01932,Occasional absence noted. Follow-up required.
STU01933,Student expressed some stress regarding coursework. Action plan discussed.
STU01934,Student expressed some stress regarding coursework. Situation monitored.
STU01935,No further action needed. Follow-up required.
STU01936,Monitor attendance next month. Action plan discussed.
STU01937,"Discussed minor career goals, doing fine. Situation monitored."
STU01938,Family concerns mentioned briefly. Follow-up required.
STU01939,Student expressed some stress regarding coursework. Situation monitored.
STU01940,Occasional absence noted. Follow-up required.
STU01941,No major issues reported. Follow-up required.
STU01942,Discussed dropping out due to financial stress. Action plan discussed.
STU01943,Multiple backlogs. Demotivated. Action plan discussed.
STU01944,No further action needed. Situation monitored.
STU01945,Student is performing well. Situation monitored.
STU01946,Student expressed some stress regarding coursework. Follow-up required.
STU01947,Family concerns mentioned briefly. Situation monitored.
STU01948,Needs to improve focus in class. Action plan discussed.
STU01949,No major issues reported. Follow-up required.
STU01950,Monitor attendance next month. Situation monitored.
STU01951,Student is performing well. Follow-up required.
STU01952,Student is performing well. Action plan discussed.
STU01953,Student expressed some stress regarding coursework. Action plan discussed.
STU01954,Needs to improve focus in class. Action plan discussed.
STU01955,Student expressed some stress regarding coursework. Situation monitored.
STU01956,Student expressed some stress regarding coursework. Situation monitored.
STU01957,Participates actively in class. Follow-up required.
STU01958,Student expressed some stress regarding coursework. Situation monitored.
STU01959,Needs to improve focus in class. Action plan discussed.
STU01960,No further action needed. Follow-up required.
STU01961,Good academic-social balance. Follow-up required.
STU01962,Occasional absence noted. Situation monitored.
STU01963,No major issues reported. Follow-up required.
STU01964,No major issues reported. Follow-up required.
STU01965,No major issues reported. Follow-up required.
STU01966,Student expressed some stress regarding coursework. Follow-up required.
STU01967,Monitor attendance next month. Situation monitored.
STU01968,No major issues reported. Follow-up required.
STU01969,Student expressed some stress regarding coursework. Follow-up required.
STU01970,"Struggling slightly with core subjects, advised tutoring. Action plan discussed."
STU01971,No major issues reported. Situation monitored.
STU01972,Severe lack of attendance. Unresponsive to emails. Situation monitored.
STU01973,Good academic-social balance. Situation monitored.
STU01974,Emergency contact notified. Follow-up required.
STU01975,Mental health challenges affecting academics. Follow-up required.
STU01976,Student is performing well. Action plan discussed.
STU01977,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU01978,"Discussed minor career goals, doing fine. Follow-up required."
STU01979,No further action needed. Follow-up required.
STU01980,Occasional absence noted. Action plan discussed.
STU01981,"Discussed minor career goals, doing fine. Action plan discussed."
STU01982,"Discussed minor career goals, doing fine. Action plan discussed."
STU01983,"Discussed minor career goals, doing fine. Follow-up required."
STU01984,Mental health challenges affecting academics. Follow-up required.
STU01985,No major issues reported. Follow-up required.
STU01986,Severe lack of attendance. Unresponsive to emails. Follow-up required.
STU01987,No further action needed. Action plan discussed.
STU01988,Student is performing well. Follow-up required.
STU01989,No further action needed. Action plan discussed.
STU01990,Student is performing well. Situation monitored.
STU01991,No further action needed. Follow-up required.
STU01992,Monitor attendance next month. Follow-up required.
STU01993,Good academic-social balance. Situation monitored.
STU01994,Emergency contact notified. Follow-up required.
STU01995,Participates actively in class. Situation monitored.
STU01996,"Working too many part-time hours, neglecting studies. Action plan discussed."
STU01997,Occasional absence noted. Action plan discussed.
STU01998,Participates actively in class. Situation monitored.
STU01999,Good academic-social balance. Follow-up required.
STU02000,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02001,Family concerns mentioned briefly. Situation monitored.
STU02002,Student expressed some stress regarding coursework. Follow-up required.
STU02003,Participates actively in class. Follow-up required.
STU02004,Family concerns mentioned briefly. Situation monitored.
STU02005,Occasional absence noted. Action plan discussed.
STU02006,Mental health challenges affecting academics. Situation monitored.
STU02007,No further action needed. Action plan discussed.
STU02008,"Discussed minor career goals, doing fine. Situation monitored."
STU02009,Severe lack of attendance. Unresponsive to emails. Action plan discussed.
STU02010,Needs to improve focus in class. Action plan discussed.
STU02011,Student expressed some stress regarding coursework. Follow-up required.
STU02012,Needs to improve focus in class. Situation monitored.
STU02013,Family concerns mentioned briefly. Follow-up required.
STU02014,Occasional absence noted. Situation monitored.
STU02015,Needs to improve focus in class. Follow-up required.
STU02016,Emergency contact notified. Action plan discussed.
STU02017,Mental health challenges affecting academics. Action plan discussed.
STU02018,Student expressed some stress regarding coursework. Action plan discussed.
STU02019,Needs to improve focus in class. Action plan discussed.
STU02020,"Discussed minor career goals, doing fine. Action plan discussed."
STU02021,Good academic-social balance. Action plan discussed.
STU02022,Monitor attendance next month. Follow-up required.
STU02023,Monitor attendance next month. Situation monitored.
STU02024,No major issues reported. Situation monitored.
STU02025,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU02026,Student expressed some stress regarding coursework. Action plan discussed.
STU02027,Monitor attendance next month. Follow-up required.
STU02028,No major issues reported. Action plan discussed.
STU02029,Family concerns mentioned briefly. Situation monitored.
STU02030,Occasional absence noted. Follow-up required.
STU02031,Monitor attendance next month. Action plan discussed.
STU02032,Student is performing well. Follow-up required.
STU02033,Participates actively in class. Situation monitored.
STU02034,Occasional absence noted. Follow-up required.
STU02035,No further action needed. Situation monitored.
STU02036,Monitor attendance next month. Follow-up required.
STU02037,Monitor attendance next month. Follow-up required.
STU02038,No further action needed. Follow-up required.
STU02039,No further action needed. Follow-up required.
STU02040,Monitor attendance next month. Action plan discussed.
STU02041,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU02042,Student is performing well. Follow-up required.
STU02043,No further action needed. Situation monitored.
STU02044,Family concerns mentioned briefly. Situation monitored.
STU02045,No further action needed. Action plan discussed.
STU02046,Monitor attendance next month. Follow-up required.
STU02047,"Discussed minor career goals, doing fine. Follow-up required."
STU02048,Multiple backlogs. Demotivated. Follow-up required.
STU02049,Occasional absence noted. Situation monitored.
STU02050,"Discussed minor career goals, doing fine. Follow-up required."
STU02051,No major issues reported. Follow-up required.
STU02052,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02053,"Discussed minor career goals, doing fine. Situation monitored."
STU02054,Student is performing well. Situation monitored.
STU02055,Family concerns mentioned briefly. Situation monitored.
STU02056,"Discussed minor career goals, doing fine. Follow-up required."
STU02057,Student is performing well. Action plan discussed.
STU02058,No further action needed. Situation monitored.
STU02059,Severe lack of attendance. Unresponsive to emails. Situation monitored.
STU02060,"Working too many part-time hours, neglecting studies. Follow-up required."
STU02061,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU02062,Discussed dropping out due to financial stress. Situation monitored.
STU02063,Family concerns mentioned briefly. Situation monitored.
STU02064,No major issues reported. Action plan discussed.
STU02065,Multiple backlogs. Demotivated. Action plan discussed.
STU02066,Student expressed some stress regarding coursework. Action plan discussed.
STU02067,"Discussed minor career goals, doing fine. Situation monitored."
STU02068,No major issues reported. Situation monitored.
STU02069,Multiple backlogs. Demotivated. Situation monitored.
STU02070,Good academic-social balance. Situation monitored.
STU02071,Occasional absence noted. Action plan discussed.
STU02072,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02073,No further action needed. Action plan discussed.
STU02074,"Working too many part-time hours, neglecting studies. Follow-up required."
STU02075,No major issues reported. Action plan discussed.
STU02076,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02077,"Discussed minor career goals, doing fine. Situation monitored."
STU02078,Good academic-social balance. Action plan discussed.
STU02079,Monitor attendance next month. Follow-up required.
STU02080,Occasional absence noted. Action plan discussed.
STU02081,Student is performing well. Situation monitored.
STU02082,"Working too many part-time hours, neglecting studies. Action plan discussed."
STU02083,No major issues reported. Action plan discussed.
STU02084,Good academic-social balance. Follow-up required.
STU02085,Participates actively in class. Action plan discussed.
STU02086,Good academic-social balance. Follow-up required.
STU02087,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02088,No further action needed. Follow-up required.
STU02089,No further action needed. Follow-up required.
STU02090,Good academic-social balance. Follow-up required.
STU02091,Good academic-social balance. Follow-up required.
STU02092,Mental health challenges affecting academics. Situation monitored.
STU02093,Student is performing well. Situation monitored.
STU02094,"Discussed minor career goals, doing fine. Situation monitored."
STU02095,Discussed dropping out due to financial stress. Follow-up required.
STU02096,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU02097,No major issues reported. Situation monitored.
STU02098,Good academic-social balance. Action plan discussed.
STU02099,Family concerns mentioned briefly. Follow-up required.
STU02100,Severe lack of attendance. Unresponsive to emails. Action plan discussed.
STU02101,Mental health challenges affecting academics. Situation monitored.
STU02102,No further action needed. Situation monitored.
STU02103,Discussed dropping out due to financial stress. Action plan discussed.
STU02104,Monitor attendance next month. Action plan discussed.
STU02105,"Discussed minor career goals, doing fine. Action plan discussed."
STU02106,Emergency contact notified. Situation monitored.
STU02107,Needs to improve focus in class. Follow-up required.
STU02108,Family concerns mentioned briefly. Situation monitored.
STU02109,Occasional absence noted. Situation monitored.
STU02110,Good academic-social balance. Situation monitored.
STU02111,Family concerns mentioned briefly. Situation monitored.
STU02112,Multiple backlogs. Demotivated. Action plan discussed.
STU02113,Student expressed some stress regarding coursework. Follow-up required.
STU02114,"Discussed minor career goals, doing fine. Situation monitored."
STU02115,Family concerns mentioned briefly. Situation monitored.
STU02116,Emergency contact notified. Follow-up required.
STU02117,Severe lack of attendance. Unresponsive to emails. Situation monitored.
STU02118,Family concerns mentioned briefly. Situation monitored.
STU02119,Monitor attendance next month. Action plan discussed.
STU02120,Participates actively in class. Situation monitored.
STU02121,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU02122,Family concerns mentioned briefly. Situation monitored.
STU02123,Student is performing well. Follow-up required.
STU02124,No major issues reported. Situation monitored.
STU02125,Monitor attendance next month. Situation monitored.
STU02126,Student is performing well. Situation monitored.
STU02127,No major issues reported. Follow-up required.
STU02128,"Discussed minor career goals, doing fine. Follow-up required."
STU02129,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02130,Participates actively in class. Follow-up required.
STU02131,Family concerns mentioned briefly. Situation monitored.
STU02132,No major issues reported. Follow-up required.
STU02133,No further action needed. Action plan discussed.
STU02134,Student is performing well. Action plan discussed.
STU02135,Participates actively in class. Situation monitored.
STU02136,Student expressed some stress regarding coursework. Action plan discussed.
STU02137,Good academic-social balance. Follow-up required.
STU02138,Severe lack of attendance. Unresponsive to emails. Action plan discussed.
STU02139,Occasional absence noted. Situation monitored.
STU02140,No major issues reported. Action plan discussed.
STU02141,Student is performing well. Situation monitored.
STU02142,Good academic-social balance. Situation monitored.
STU02143,Needs to improve focus in class. Action plan discussed.
STU02144,Multiple backlogs. Demotivated. Action plan discussed.
STU02145,Good academic-social balance. Situation monitored.
STU02146,Student is performing well. Follow-up required.
STU02147,Student is performing well. Action plan discussed.
STU02148,Participates actively in class. Situation monitored.
STU02149,"Discussed minor career goals, doing fine. Action plan discussed."
STU02150,No further action needed. Situation monitored.
STU02151,Participates actively in class. Follow-up required.
STU02152,No further action needed. Situation monitored.
STU02153,Occasional absence noted. Situation monitored.
STU02154,"Discussed minor career goals, doing fine. Follow-up required."
STU02155,Needs to improve focus in class. Action plan discussed.
STU02156,Good academic-social balance. Action plan discussed.
STU02157,No major issues reported. Follow-up required.
STU02158,No further action needed. Action plan discussed.
STU02159,Family concerns mentioned briefly. Action plan discussed.
STU02160,"Discussed minor career goals, doing fine. Action plan discussed."
STU02161,Student is performing well. Action plan discussed.
STU02162,Multiple backlogs. Demotivated. Action plan discussed.
STU02163,No major issues reported. Situation monitored.
STU02164,Severe lack of attendance. Unresponsive to emails. Follow-up required.
STU02165,Participates actively in class. Situation monitored.
STU02166,Discussed dropping out due to financial stress. Follow-up required.
STU02167,"Discussed minor career goals, doing fine. Action plan discussed."
STU02168,Participates actively in class. Action plan discussed.
STU02169,Participates actively in class. Follow-up required.
STU02170,Occasional absence noted. Situation monitored.
STU02171,Participates actively in class. Situation monitored.
STU02172,Occasional absence noted. Situation monitored.
STU02173,No major issues reported. Action plan discussed.
STU02174,Good academic-social balance. Situation monitored.
STU02175,Severe lack of attendance. Unresponsive to emails. Follow-up required.
STU02176,Needs to improve focus in class. Action plan discussed.
STU02177,Good academic-social balance. Follow-up required.
STU02178,Family concerns mentioned briefly. Action plan discussed.
STU02179,Family concerns mentioned briefly. Follow-up required.
STU02180,"Discussed minor career goals, doing fine. Situation monitored."
STU02181,Good academic-social balance. Action plan discussed.
STU02182,Occasional absence noted. Situation monitored.
STU02183,Student is performing well. Action plan discussed.
STU02184,No major issues reported. Action plan discussed.
STU02185,Participates actively in class. Situation monitored.
STU02186,No further action needed. Action plan discussed.
STU02187,Needs to improve focus in class. Situation monitored.
STU02188,No further action needed. Action plan discussed.
STU02189,No further action needed. Situation monitored.
STU02190,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02191,No major issues reported. Action plan discussed.
STU02192,No major issues reported. Action plan discussed.
STU02193,Emergency contact notified. Action plan discussed.
STU02194,No major issues reported. Follow-up required.
STU02195,No major issues reported. Follow-up required.
STU02196,Participates actively in class. Situation monitored.
STU02197,Good academic-social balance. Situation monitored.
STU02198,Student is performing well. Situation monitored.
STU02199,Mental health challenges affecting academics. Situation monitored.
STU02200,"Working too many part-time hours, neglecting studies. Follow-up required."
STU02201,Occasional absence noted. Situation monitored.
STU02202,Needs to improve focus in class. Situation monitored.
STU02203,No further action needed. Follow-up required.
STU02204,Participates actively in class. Follow-up required.
STU02205,Student is performing well. Situation monitored.
STU02206,Student is performing well. Follow-up required.
STU02207,Multiple backlogs. Demotivated. Action plan discussed.
STU02208,Family concerns mentioned briefly. Follow-up required.
STU02209,No major issues reported. Follow-up required.
STU02210,Student is performing well. Situation monitored.
STU02211,Occasional absence noted. Follow-up required.
STU02212,Needs to improve focus in class. Follow-up required.
STU02213,Monitor attendance next month. Action plan discussed.
STU02214,Participates actively in class. Situation monitored.
STU02215,Mental health challenges affecting academics. Follow-up required.
STU02216,Participates actively in class. Follow-up required.
STU02217,Good academic-social balance. Situation monitored.
STU02218,Student expressed some stress regarding coursework. Follow-up required.
STU02219,"Discussed minor career goals, doing fine. Situation monitored."
STU02220,Occasional absence noted. Situation monitored.
STU02221,Discussed dropping out due to financial stress. Action plan discussed.
STU02222,"Discussed minor career goals, doing fine. Situation monitored."
STU02223,Good academic-social balance. Action plan discussed.
STU02224,No major issues reported. Situation monitored.
STU02225,"Discussed minor career goals, doing fine. Follow-up required."
STU02226,Student expressed some stress regarding coursework. Situation monitored.
STU02227,No further action needed. Follow-up required.
STU02228,Needs to improve focus in class. Situation monitored.
STU02229,"Working too many part-time hours, neglecting studies. Situation monitored."
STU02230,Participates actively in class. Follow-up required.
STU02231,Mental health challenges affecting academics. Situation monitored.
STU02232,No major issues reported. Situation monitored.
STU02233,Needs to improve focus in class. Action plan discussed.
STU02234,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02235,Student is performing well. Action plan discussed.
STU02236,Student is performing well. Follow-up required.
STU02237,No major issues reported. Situation monitored.
STU02238,"Discussed minor career goals, doing fine. Situation monitored."
STU02239,No major issues reported. Situation monitored.
STU02240,Student expressed some stress regarding coursework. Action plan discussed.
STU02241,Monitor attendance next month. Situation monitored.
STU02242,"Working too many part-time hours, neglecting studies. Situation monitored."
STU02243,Good academic-social balance. Follow-up required.
STU02244,Severe lack of attendance. Unresponsive to emails. Follow-up required.
STU02245,Good academic-social balance. Follow-up required.
STU02246,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU02247,No major issues reported. Situation monitored.
STU02248,Good academic-social balance. Action plan discussed.
STU02249,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02250,"Discussed minor career goals, doing fine. Follow-up required."
STU02251,Student is performing well. Situation monitored.
STU02252,Discussed dropping out due to financial stress. Follow-up required.
STU02253,No major issues reported. Situation monitored.
STU02254,Good academic-social balance. Situation monitored.
STU02255,Severe lack of attendance. Unresponsive to emails. Action plan discussed.
STU02256,Needs to improve focus in class. Follow-up required.
STU02257,Participates actively in class. Follow-up required.
STU02258,Family concerns mentioned briefly. Follow-up required.
STU02259,Student expressed some stress regarding coursework. Action plan discussed.
STU02260,Student expressed some stress regarding coursework. Follow-up required.
STU02261,No further action needed. Follow-up required.
STU02262,"Working too many part-time hours, neglecting studies. Action plan discussed."
STU02263,Needs to improve focus in class. Follow-up required.
STU02264,"Discussed minor career goals, doing fine. Action plan discussed."
STU02265,Participates actively in class. Situation monitored.
STU02266,"Discussed minor career goals, doing fine. Action plan discussed."
STU02267,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02268,No major issues reported. Situation monitored.
STU02269,Student expressed some stress regarding coursework. Situation monitored.
STU02270,"Discussed minor career goals, doing fine. Action plan discussed."
STU02271,Student is performing well. Follow-up required.
STU02272,No further action needed. Follow-up required.
STU02273,"Discussed minor career goals, doing fine. Follow-up required."
STU02274,Participates actively in class. Situation monitored.
STU02275,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU02276,Student expressed some stress regarding coursework. Situation monitored.
STU02277,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU02278,Discussed dropping out due to financial stress. Follow-up required.
STU02279,Multiple backlogs. Demotivated. Situation monitored.
STU02280,Monitor attendance next month. Follow-up required.
STU02281,Mental health challenges affecting academics. Follow-up required.
STU02282,Occasional absence noted. Situation monitored.
STU02283,Student expressed some stress regarding coursework. Follow-up required.
STU02284,Occasional absence noted. Action plan discussed.
STU02285,Student is performing well. Situation monitored.
STU02286,No major issues reported. Situation monitored.
STU02287,Family concerns mentioned briefly. Action plan discussed.
STU02288,Good academic-social balance. Follow-up required.
STU02289,"Discussed minor career goals, doing fine. Follow-up required."
STU02290,Good academic-social balance. Situation monitored.
STU02291,No further action needed. Follow-up required.
STU02292,Participates actively in class. Follow-up required.
STU02293,"Working too many part-time hours, neglecting studies. Situation monitored."
STU02294,No major issues reported. Action plan discussed.
STU02295,Student expressed some stress regarding coursework. Situation monitored.
STU02296,Student is performing well. Action plan discussed.
STU02297,Discussed dropping out due to financial stress. Action plan discussed.
STU02298,Participates actively in class. Situation monitored.
STU02299,Participates actively in class. Follow-up required.
STU02300,Occasional absence noted. Follow-up required.
STU02301,Monitor attendance next month. Action plan discussed.
STU02302,Participates actively in class. Situation monitored.
STU02303,Emergency contact notified. Situation monitored.
STU02304,Discussed dropping out due to financial stress. Follow-up required.
STU02305,Student expressed some stress regarding coursework. Follow-up required.
STU02306,Monitor attendance next month. Follow-up required.
STU02307,No major issues reported. Action plan discussed.
STU02308,Participates actively in class. Follow-up required.
STU02309,No major issues reported. Action plan discussed.
STU02310,"Working too many part-time hours, neglecting studies. Follow-up required."
STU02311,No further action needed. Situation monitored.
STU02312,Participates actively in class. Follow-up required.
STU02313,Participates actively in class. Situation monitored.
STU02314,No major issues reported. Follow-up required.
STU02315,Good academic-social balance. Situation monitored.
STU02316,Student expressed some stress regarding coursework. Situation monitored.
STU02317,Mental health challenges affecting academics. Follow-up required.
STU02318,Occasional absence noted. Situation monitored.
STU02319,No further action needed. Action plan discussed.
STU02320,Discussed dropping out due to financial stress. Follow-up required.
STU02321,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02322,Emergency contact notified. Situation monitored.
STU02323,No further action needed. Situation monitored.
STU02324,No further action needed. Situation monitored.
STU02325,"Discussed minor career goals, doing fine. Action plan discussed."
STU02326,Student is performing well. Situation monitored.
STU02327,Monitor attendance next month. Follow-up required.
STU02328,"Discussed minor career goals, doing fine. Follow-up required."
STU02329,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU02330,Participates actively in class. Action plan discussed.
STU02331,Participates actively in class. Situation monitored.
STU02332,"Discussed minor career goals, doing fine. Action plan discussed."
STU02333,No major issues reported. Action plan discussed.
STU02334,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU02335,Monitor attendance next month. Action plan discussed.
STU02336,Good academic-social balance. Action plan discussed.
STU02337,No major issues reported. Action plan discussed.
STU02338,Student expressed some stress regarding coursework. Action plan discussed.
STU02339,Occasional absence noted. Action plan discussed.
STU02340,Student is performing well. Situation monitored.
STU02341,Participates actively in class. Situation monitored.
STU02342,Occasional absence noted. Follow-up required.
STU02343,No major issues reported. Follow-up required.
STU02344,No further action needed. Follow-up required.
STU02345,Emergency contact notified. Action plan discussed.
STU02346,"Working too many part-time hours, neglecting studies. Action plan discussed."
STU02347,Monitor attendance next month. Action plan discussed.
STU02348,Student is performing well. Action plan discussed.
STU02349,Occasional absence noted. Situation monitored.
STU02350,Needs to improve focus in class. Follow-up required.
STU02351,"Discussed minor career goals, doing fine. Situation monitored."
STU02352,Student expressed some stress regarding coursework. Follow-up required.
STU02353,No major issues reported. Action plan discussed.
STU02354,No further action needed. Action plan discussed.
STU02355,"Working too many part-time hours, neglecting studies. Action plan discussed."
STU02356,Occasional absence noted. Follow-up required.
STU02357,Student is performing well. Follow-up required.
STU02358,Student is performing well. Situation monitored.
STU02359,Discussed dropping out due to financial stress. Follow-up required.
STU02360,Family concerns mentioned briefly. Action plan discussed.
STU02361,No major issues reported. Action plan discussed.
STU02362,Good academic-social balance. Action plan discussed.
STU02363,Good academic-social balance. Follow-up required.
STU02364,Participates actively in class. Action plan discussed.
STU02365,"Discussed minor career goals, doing fine. Action plan discussed."
STU02366,"Discussed minor career goals, doing fine. Situation monitored."
STU02367,Family concerns mentioned briefly. Situation monitored.
STU02368,Family concerns mentioned briefly. Follow-up required.
STU02369,Student is performing well. Action plan discussed.
STU02370,Family concerns mentioned briefly. Action plan discussed.
STU02371,No further action needed. Action plan discussed.
STU02372,Needs to improve focus in class. Situation monitored.
STU02373,Monitor attendance next month. Follow-up required.
STU02374,Discussed dropping out due to financial stress. Follow-up required.
STU02375,No further action needed. Action plan discussed.
STU02376,Monitor attendance next month. Situation monitored.
STU02377,Good academic-social balance. Follow-up required.
STU02378,Occasional absence noted. Action plan discussed.
